"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"5:32:22.8874681 AM","chrome.exe","7596","CreateFile","C:\Windows\System32\userenv.dll","SUCCESS","Desired Access: Read Data/List Directory, Execute/Traverse, Synchronize, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: n/a, ShareMode: Read, Delete, AllocationSize: n/a, Impersonating: WIN-1\Charlie, OpenResult: Opened"
"5:32:22.8876182 AM","chrome.exe","7596","CreateFileMapping","C:\Windows\System32\userenv.dll","SUCCESS","SyncType: SyncTypeOther"
"5:32:22.8885998 AM","chrome.exe","7596","CreateFile","C:\Windows\System32\secur32.dll","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, Impersonating: WIN-1\Charlie, OpenResult: Opened"
"5:32:22.8889126 AM","chrome.exe","7596","CreateFile","C:\Windows\System32\secur32.dll","SUCCESS","Desired Access: Read Data/List Directory, Execute/Traverse, Synchronize, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: n/a, ShareMode: Read, Delete, AllocationSize: n/a, Impersonating: WIN-1\Charlie, OpenResult: Opened"
"5:32:22.8891652 AM","chrome.exe","7596","CreateFileMapping","C:\Windows\System32\secur32.dll","SUCCESS","SyncType: SyncTypeOther"
"5:32:22.8902349 AM","chrome.exe","7596","CreateFile","C:\Windows\System32\UIAutomationCore.dll","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, Impersonating: WIN-1\Charlie, OpenResult: Opened"
"5:32:22.8905131 AM","chrome.exe","7596","CreateFile","C:\Windows\System32\UIAutomationCore.dll","SUCCESS","Desired Access: Read Data/List Directory, Execute/Traverse, Synchronize, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: n/a, ShareMode: Read, Delete, AllocationSize: n/a, Impersonating: WIN-1\Charlie, OpenResult: Opened"
"5:32:22.8906548 AM","chrome.exe","7596","CreateFileMapping","C:\Windows\System32\UIAutomationCore.dll","SUCCESS","SyncType: SyncTypeOther"
"5:32:22.8919225 AM","chrome.exe","7596","CreateFile","C:\Windows\System32\winhttp.dll","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, Impersonating: WIN-1\Charlie, OpenResult: Opened"
"5:32:22.8921740 AM","chrome.exe","7596","CreateFile","C:\Windows\System32\winhttp.dll","SUCCESS","Desired Access: Read Data/List Directory, Execute/Traverse, Synchronize, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: n/a, ShareMode: Read, Delete, AllocationSize: n/a, Impersonating: WIN-1\Charlie, OpenResult: Opened"
"5:32:22.8923259 AM","chrome.exe","7596","CreateFileMapping","C:\Windows\System32\winhttp.dll","SUCCESS","SyncType: SyncTypeOther"
"5:32:22.8933387 AM","chrome.exe","7596","CreateFile","C:\Windows\System32\DWrite.dll","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, Impersonating: WIN-1\Charlie, OpenResult: Opened"
"5:32:22.8935835 AM","chrome.exe","7596","CreateFile","C:\Windows\System32\DWrite.dll","SUCCESS","Desired Access: Read Data/List Directory, Execute/Traverse, Synchronize, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: n/a, ShareMode: Read, Delete, AllocationSize: n/a, Impersonating: WIN-1\Charlie, OpenResult: Opened"
"5:32:22.8937372 AM","chrome.exe","7596","CreateFileMapping","C:\Windows\System32\DWrite.dll","SUCCESS","SyncType: SyncTypeOther"
"5:32:22.8947139 AM","chrome.exe","7596","CreateFile","C:\Windows\System32\winspool.drv","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, Impersonating: WIN-1\Charlie, OpenResult: Opened"
"5:32:22.8949679 AM","chrome.exe","7596","CreateFile","C:\Windows\System32\winspool.drv","SUCCESS","Desired Access: Read Data/List Directory, Execute/Traverse, Synchronize, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: n/a, ShareMode: Read, Delete, AllocationSize: n/a, Impersonating: WIN-1\Charlie, OpenResult: Opened"
"5:32:22.8951164 AM","chrome.exe","7596","CreateFileMapping","C:\Windows\System32\winspool.drv","SUCCESS","SyncType: SyncTypeOther"
"5:32:22.8961229 AM","chrome.exe","7596","CreateFile","C:\Windows\System32\dhcpcsvc.dll","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, Impersonating: WIN-1\Charlie, OpenResult: Opened"
